spec,spec_id,gamma_ebic,wave,trust_stratum,n_cc,context_id,network_id,edge_id,from,to,edge_a,edge_b,sample_weight,boot_mean,boot_sd,ci_low,ci_high,prop_nonzero,n_boot
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__SEVERITY__USE2_AVOID,SEVERITY,USE2_AVOID,SEVERITY,USE2_AVOID,0.1270750339510436,0.12668533379255548,0.04637824311418753,0.03062894336800838,0.21583256447260077,0.994,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__SEVERITY__USE2_HANDWASH20,SEVERITY,USE2_HANDWASH20,SEVERITY,USE2_HANDWASH20,0.10326597434691034,0.10885940538391883,0.04954743857065162,0.006000594686543063,0.20552725822350706,0.976,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__USE2_AVOID__WORRY_HEALTH_SYSTEM,USE2_AVOID,WORRY_HEALTH_SYSTEM,USE2_AVOID,WORRY_HEALTH_SYSTEM,0.09383266926754759,0.08899418182126285,0.046544221522508,0,0.18497110925944116,0.96,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__USE2_HANDWASH20__WORRY_HEALTH_SYSTEM,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,0.07665823322751054,0.07435755269390924,0.04985742598515784,0,0.1720557456463489,0.884,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__USE2_MASK__WORRY_HEALTH_SYSTEM,USE2_MASK,WORRY_HEALTH_SYSTEM,USE2_MASK,WORRY_HEALTH_SYSTEM,0.07410274364323768,0.07503727847760691,0.05207952464817641,0,0.18608763491986613,0.865,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__AFF_WORRY__USE2_AVOID,AFF_WORRY,USE2_AVOID,AFF_WORRY,USE2_AVOID,0.06856159433914215,0.05994739700394441,0.03954788831008776,0,0.14185064828387298,0.893,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__SEVERITY__USE2_SPACE150,SEVERITY,USE2_SPACE150,SEVERITY,USE2_SPACE150,0.06547783526443958,0.07081646759831745,0.04751099723153335,0,0.16729974829577837,0.887,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__AFF_WORRY__WORRY_HEALTH_SYSTEM,AFF_WORRY,WORRY_HEALTH_SYSTEM,AFF_WORRY,WORRY_HEALTH_SYSTEM,0.05339893732043959,0.05612849970024875,0.04782530912098946,0,0.15824881176446154,0.797,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__AFF_FEAR__USE2_AVOID,AFF_FEAR,USE2_AVOID,AFF_FEAR,USE2_AVOID,0.0470292017152531,0.05024841696155858,0.04188907787653934,0,0.14318372458472284,0.817,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__USE2_SPACE150__WORRY_HEALTH_SYSTEM,USE2_SPACE150,WORRY_HEALTH_SYSTEM,USE2_SPACE150,WORRY_HEALTH_SYSTEM,0.03672454288717526,0.04216758426854378,0.04580727205098502,0,0.1562891445582131,0.681,1000
