spec,wave,trust_stratum,n_cc,node,node_id,degree,strength,spec_id,gamma_ebic,thresholded,cor_method,in_kg,context_id,network_id,domain,role
g05_thr,55,high,309,USE2_HANDWASH20,USE2_HANDWASH20,2,0.40474536640174796,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w55_high,net_g05_thr_w55_high,behavior,non_focal
g05_thr,55,high,309,USE2_MASK,USE2_MASK,2,0.431161374602272,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w55_high,net_g05_thr_w55_high,behavior,non_focal
g05_thr,55,high,309,USE2_SPACE150,USE2_SPACE150,4,0.862411605032369,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w55_high,net_g05_thr_w55_high,behavior,non_focal
g05_thr,55,high,309,SEVERITY,SEVERITY,3,0.5257063917962099,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w55_high,net_g05_thr_w55_high,belief,focal_belief
g05_thr,55,low,376,AFF_FEAR,AFF_FEAR,4,1.075915275223015,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w55_low,net_g05_thr_w55_low,affect,non_focal
g05_thr,55,low,376,AFF_WORRY,AFF_WORRY,2,0.6799546094065021,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w55_low,net_g05_thr_w55_low,affect,non_focal
g05_thr,55,low,376,WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM,5,0.703453163983904,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w55_low,net_g05_thr_w55_low,affect,non_focal
g05_thr,55,low,376,USE2_AVOID,USE2_AVOID,4,0.699117799082915,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w55_low,net_g05_thr_w55_low,behavior,non_focal
g05_thr,55,low,376,USE2_HANDWASH20,USE2_HANDWASH20,4,0.6821936512314171,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w55_low,net_g05_thr_w55_low,behavior,non_focal
g05_thr,55,low,376,USE2_MASK,USE2_MASK,4,0.784245808434901,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w55_low,net_g05_thr_w55_low,behavior,non_focal
g05_thr,55,low,376,USE2_SPACE150,USE2_SPACE150,3,0.8539738678073361,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w55_low,net_g05_thr_w55_low,behavior,non_focal
g05_thr,55,low,376,SEVERITY,SEVERITY,2,0.463838748014888,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w55_low,net_g05_thr_w55_low,belief,focal_belief
g05_thr,56,high,351,AFF_FEAR,AFF_FEAR,3,0.9130370059487061,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w56_high,net_g05_thr_w56_high,affect,non_focal
g05_thr,56,high,351,AFF_WORRY,AFF_WORRY,1,0.562066156177224,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w56_high,net_g05_thr_w56_high,affect,non_focal
g05_thr,56,high,351,WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM,1,0.146601677207386,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w56_high,net_g05_thr_w56_high,affect,non_focal
g05_thr,56,high,351,USE2_AVOID,USE2_AVOID,2,0.43857153799257104,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w56_high,net_g05_thr_w56_high,behavior,non_focal
g05_thr,56,high,351,USE2_HANDWASH20,USE2_HANDWASH20,4,0.6932684582869231,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w56_high,net_g05_thr_w56_high,behavior,non_focal
g05_thr,56,high,351,USE2_MASK,USE2_MASK,2,0.486077065588983,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w56_high,net_g05_thr_w56_high,behavior,non_focal
g05_thr,56,high,351,USE2_SPACE150,USE2_SPACE150,3,0.717116450330848,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w56_high,net_g05_thr_w56_high,behavior,non_focal
g05_thr,56,high,351,SEVERITY,SEVERITY,2,0.351986479771651,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w56_high,net_g05_thr_w56_high,belief,focal_belief
g05_thr,56,low,383,AFF_FEAR,AFF_FEAR,3,0.866903088353839,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w56_low,net_g05_thr_w56_low,affect,non_focal
g05_thr,56,low,383,AFF_WORRY,AFF_WORRY,4,1.087765052468334,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w56_low,net_g05_thr_w56_low,affect,non_focal
g05_thr,56,low,383,WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM,2,0.276589022614389,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w56_low,net_g05_thr_w56_low,affect,non_focal
g05_thr,56,low,383,USE2_AVOID,USE2_AVOID,3,0.6262816964548941,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w56_low,net_g05_thr_w56_low,behavior,non_focal
g05_thr,56,low,383,USE2_HANDWASH20,USE2_HANDWASH20,3,0.6027497472321071,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w56_low,net_g05_thr_w56_low,behavior,non_focal
g05_thr,56,low,383,USE2_MASK,USE2_MASK,3,0.636259927611413,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w56_low,net_g05_thr_w56_low,behavior,non_focal
g05_thr,56,low,383,USE2_SPACE150,USE2_SPACE150,3,0.873003455237589,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w56_low,net_g05_thr_w56_low,behavior,non_focal
g05_thr,56,low,383,SEVERITY,SEVERITY,3,0.632491375224365,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w56_low,net_g05_thr_w56_low,belief,focal_belief
g05_thr,57,high,407,AFF_FEAR,AFF_FEAR,3,0.865136218184675,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w57_high,net_g05_thr_w57_high,affect,non_focal
g05_thr,57,high,407,AFF_WORRY,AFF_WORRY,2,0.783511558129369,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w57_high,net_g05_thr_w57_high,affect,non_focal
g05_thr,57,high,407,WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM,1,0.280476483798584,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w57_high,net_g05_thr_w57_high,affect,non_focal
g05_thr,57,high,407,USE2_AVOID,USE2_AVOID,2,0.410067225309806,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w57_high,net_g05_thr_w57_high,behavior,non_focal
g05_thr,57,high,407,USE2_HANDWASH20,USE2_HANDWASH20,1,0.217471559127613,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w57_high,net_g05_thr_w57_high,behavior,non_focal
g05_thr,57,high,407,USE2_MASK,USE2_MASK,1,0.217471559127613,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w57_high,net_g05_thr_w57_high,behavior,non_focal
g05_thr,57,high,407,USE2_SPACE150,USE2_SPACE150,1,0.29262961564814,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w57_high,net_g05_thr_w57_high,behavior,non_focal
g05_thr,57,high,407,SEVERITY,SEVERITY,1,0.244663534192224,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w57_high,net_g05_thr_w57_high,belief,focal_belief
g05_thr,57,low,336,AFF_FEAR,AFF_FEAR,1,0.67431879846331,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w57_low,net_g05_thr_w57_low,affect,non_focal
