spec,wave,from,to,diff_weight_high_minus_low,abs_diff,n_low,n_high,from_domain,to_domain,from_role,to_role,spec_id,gamma_ebic,thresholded,cor_method,in_kg,comparison_id
g05_thr,56,SEVERITY,USE2_AVOID,-0.153446108833217,0.153446108833217,383,351,belief,behavior,focal_belief,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w56_high_minus_low
g05_thr,56,SEVERITY,USE2_HANDWASH20,0.147617307207555,0.147617307207555,383,351,belief,behavior,focal_belief,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w56_high_minus_low
g05_thr,56,AFF_WORRY,USE2_MASK,-0.130287961726576,0.130287961726576,383,351,affect,behavior,non_focal,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w56_high_minus_low
g05_thr,56,SEVERITY,USE2_MASK,0,0,383,351,belief,behavior,focal_belief,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w56_high_minus_low
g05_thr,56,AFF_FEAR,USE2_MASK,0,0,383,351,affect,behavior,non_focal,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w56_high_minus_low
g05_thr,56,WORRY_HEALTH_SYSTEM,USE2_MASK,0,0,383,351,affect,behavior,non_focal,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w56_high_minus_low
g05_thr,56,SEVERITY,USE2_SPACE150,0,0,383,351,belief,behavior,focal_belief,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w56_high_minus_low
g05_thr,56,AFF_FEAR,USE2_SPACE150,0,0,383,351,affect,behavior,non_focal,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w56_high_minus_low
g05_thr,56,AFF_WORRY,USE2_SPACE150,0,0,383,351,affect,behavior,non_focal,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w56_high_minus_low
g05_thr,56,WORRY_HEALTH_SYSTEM,USE2_SPACE150,0,0,383,351,affect,behavior,non_focal,non_focal,gamma_05_thr,0.5,TRUE,pearson,FALSE,diff_g05_thr_w56_high_minus_low
